text,anger,fear,joy,love,sadness,surprise,thankfulness,disgust,guilt
What can happen to you if your depressed #depressed #PTSD and have drugs #drugs #addiction problems,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@user I am for my family s complete lack of interest in my Twitter account,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jennifer reyna haha I know ! I was trying to call out the station It was mentioned a couple of times but didnt happen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@user Thanks for helping with @user They upgraded your acct because you were so kind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
No stroller or baby dog headed to hike #freedom,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PreceptMinistry His WORD brings us comfort Thank God for his word !,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Today Im to be DONE with my thesis defense ! Im so happy manship school has faculty like Dr,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
day for my beautiful space god has blessed me with to have my morning coffee,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
'RT @user “FUCK I forgot my mask”',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeremy International Academy of Design Technology Orlando,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Attention ladies this is for you ! Get pampered with a gift from @user tomorrow ! the gift list #TheGiftList,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I love #twitter users yes we did #yeswedid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CityYearLA Good morning ! Our @user members are to their amazing partner teachers ! #teachers!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I laugh #laugh love hope #Hope #Try #Cry and I know you do the same to oo So we are really not that different,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Because when all else fails Hes never left my side ?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Second time this year coach has thrown all the ice from the bucket at me during warm down arctic blast #arcticblast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#Birthday #party #hallowen #fun #ghost best friend #bestfriend i love you so much guys,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
This may come as a to you but most #Americans only use about per cent of my #brain,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Just in time for the holidays #holidays the perfect gift #Theperfectgift for him or her holiday shopping #holidayshopping #candles,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Check out my latest blog post,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Back to black and man have I missed it! #hair #style #change #black #yeg in stagramhub #instagramhub,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
what is your desire in life ? I dont know I feel stupid not having one,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Today Im for open eyes and open minds,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
